Nama Tempat,Alamat,Rating,Jumlah Review,Ketersediaan Telepon,Website,Latitude,Longitude,Aksesibilitas Difabel,Jenis Tempat,Kota/Kabupaten,24 Jam,Jam Buka,Jam Tutup,Status Operasional,Telepon,Skor Aksesibilitas,Status Aksesibilitas
"Gereja Katolik Paroki Santo Ignatius, Cimahi","Jl. Baros No.8, Baros, Kec. Cimahi Tengah, Kota Cimahi","4,8",1013,Ada,Tersedia,-6.8905712,107.5364163,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Gereja Katolik,Kota Cimahi,FALSE,5:30,18:00,Normal,226654052,3,Aksesibilitas Difabel Cukup Lengkap
GKI Cimahi,"Jl. Pacinan No.32, Cimahi, Kec. Cimahi Tengah, Kota Cimahi","4,7",560,Ada,Tersedia,-6.8711719,107.5438869,,Gereja Protestan,Kota Cimahi,FALSE,8:00,16:00,Normal,226632812,0,Tidak Tersedia
GKPI JK Cimahi,"Jl. Lurah Gang As-Salam, Karangmekar, Kec. Cimahi Tengah, Kota Cimahi","4,7",270,Tidak Ada,Tidak Tersedia,-6.8754809,107.5423947,,Gereja Protestan,Kota Cimahi,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
GKP Jemaat Cimahi,"Jl. Gatot Subroto No.24, Karangmekar, Kec. Cimahi Tengah, Kota Cimahi","5,0",20,Tidak Ada,Tidak Tersedia,-6.8777338,107.5445484,,Gereja Protestan,Kota Cimahi,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
Gereja Katolik St. Agustinus Cimahi,"Jl. Gatot Subroto No.28, Karangmekar, Kec. Cimahi Tengah, Kota Cimahi","4,5",660,Tidak Ada,Tidak Tersedia,-6.8780164,107.5445062,,Gereja Katolik,Kota Cimahi,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
GSJA Cimahi,"Jl. Gatot Subroto No.18, Karangmekar, Kec. Cimahi Tengah, Kota Cimahi","4,7",30,Tidak Ada,Tidak Tersedia,-6.8772588,107.5451043,,Gereja Protestan,Kota Cimahi,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
Pondok Suddhi Bhavana,"Jl. Kolonel Masturi No.Km 5, RW.2, Jambudipa, Kec. Cisarua, Kabupaten Bandung Barat","4,3",350,Tidak Ada,Tidak Tersedia,-6.8316063,107.5545507,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Vihara,Kabupaten Bandung Barat,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
Wihara Buddhayana,"Jl. Kolonel Masturi No.Km.5, RW.2, Jambudipa, Kec. Cisarua, Kabupaten Bandung Barat","3,0",20,Tidak Ada,Tidak Tersedia,-6.832003,107.555931,,Vihara,Kabupaten Bandung Barat,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
Masjid Jami Nurul Iman,"Jl. Dukuh Semar, Drajat, Kec. Kesambi, Kota Cirebon","4,6",320,Tidak Ada,Tidak Tersedia,-6.736737,108.5538613,,Masjid,Kota Cirebon,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
MASJID NURUL IMAN GALUNGGUNG ASIH,"Kecapi, Kec. Harjamukti, Kota Cirebon","4,6",390,Tidak Ada,Tidak Tersedia,-6.7524857,108.5580267,,Masjid,Kota Cirebon,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Al Ikhlas,"Cirebon Girang, Kec. Talun, Kabupaten Cirebon","4,7",100,Ada,Tidak Tersedia,-6.7729795,108.5044025,,Masjid,Kabupaten Cirebon,TRUE,0:00,23:59,24 jam,811261811,0,Tidak Tersedia
Masjid Nurrohman,"Jl. Merpati X Perumnas, Larangan, Kec. Harjamukti, Kota Cirebon","4,6",300,Tidak Ada,Tidak Tersedia,-6.7399922,108.5654869,,Masjid,Kota Cirebon,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Arab / Baiturrohman Pekalipan,"Jl. Pekalipan VIII, Pekalipan, Kec. Pekalipan, Kota Cirebon","4,6",140,Tidak Ada,Tidak Tersedia,-6.7229432,108.5606208,,Masjid,Kota Cirebon,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Sang Rasa Jati,"Karangasem, Kec. Plumbon, Kabupaten Cirebon","4,8",210,Ada,Tidak Tersedia,-6.7003797,108.4806299,,Masjid,Kabupaten Cirebon,TRUE,0:00,23:59,24 jam,85224521111,0,Tidak Tersedia
Masjid Al-Huda,"Jl. Saleh No.119, Kesenden, Kec. Kejaksan, Kota Cirebon","4,9",340,Tidak Ada,Tidak Tersedia,-6.6991294,108.556122,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Cirebon,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
